Question,Category,Answer all,Answer any,Answer any two,Answer any plus,Comment
Everyone has sinned?,doctrinal,,"Romans 3:23, Romans 3:10, Romans 5:12",,,
What is the consequence of sin?,doctrinal,,"Romans 6:23, Genesis 2:17",,,
What will happen after death?,doctrinal,,"Hebrews 9:27, John 5:29, Revelation 20:11-15",,,
Why did Jesus die on the cross?,doctrinal,,,"Isaiah 53:5, 1 Peter 2:24, Matthew 20:28, Mark 10:45, 1 Corinthians 15:3, Romans 5:8",,
How is a person saved?,doctrinal,,"John 3:16, Ephesians 2:8-10, John 3:36, Mark 16:16, Romans 10:9-10",,,
Is repentance necessary for salvation?,doctrinal,,,"Matthew 4:17, Mark 1:15, Luke 13:3, Acts 2:38, Acts 3:19, Acts 17:30, Acts 26:20, Romans 2:4, 2 Peter 3:9, Revelation 9:20",,
Why must one be born again?,doctrinal,,"John 3:3, John 3:5",,,
How to be born again?,doctrinal,,,"1 Peter 1:23, 1 John 5:12, 2 Corinthians 5:17, John 10:10, John 5:40, John 11:25, John 14:6, John 3:5",,
What happens after a person is saved?,doctrinal,,"John 1:12, 2 Corinthians 5:17, Ephesians 2:10",,,
What will happen when a Christian dies?,doctrinal,,"Luke 23:43, Philippians 1:23, 1 Corinthians 15:50-54, Revelation 21:4, 2 Corinthians 5:8",,"Romans 14:10-12, 2 Corinthians 5:10, 1 Corinthians 3:15",side B = believer's judgment
Can a person be saved without Jesus?,doctrinal,,"John 14:6, Acts 4:12, 1 John 5:11-12",,,
Is salvation by faith alone?,doctrinal,,,"Ephesians 2:8-10, Romans 3:28, Galatians 2:16, Titus 3:5","James 2:17, James 2:19-20, James 2:26, Matthew 3:8, Luke 3:8",
Can Christians lose their salvation?,doctrinal,,John 10:28-29,,"Hebrews 6:6, Hebrews 10:26-27",
Can a person know they have eternal life?,doctrinal,1 John 5:11-13,,,,
"If sin is forgiven after repentance, can one indulge in sin?",principle,,"Galatians 6:7-8, Romans 6:1-2, Hebrews 10:26-27, Proverbs 29:1",,,
Does the Bible teach that believers can live in victory over sin?,doctrinal,,"Romans 8:2, Romans 6:11, Romans 6:6-7, 1 Corinthians 10:13",,,
Is there divine healing today?,doctrinal,,,"Isaiah 53:5, 1 Peter 2:24, Matthew 8:17, Mark 16:17-18, James 5:15, 1 Corinthians 12:9, 1 Corinthians 12:28, Philippians 2:27, Acts 3:16, Hebrews 13:8",,
Can a Christian marry a non-Christian?,principle,,"2 Corinthians 6:14, 1 Corinthians 7:39",,,
Can a Christian continue in a homosexual lifestyle?,principle,,"1 Corinthians 6:9-10, Romans 1:26-27, Jude 1:7, Revelation 21:8, Revelation 22:15",,,
How does the Bible view being transgender?,principle,,"Deuteronomy 22:5, Matthew 19:4",,,
Can a Christian divorce?,principle,,"Matthew 19:6, Malachi 2:16, 1 Corinthians 7:10-11",,"1 Corinthians 7:15, Matthew 19:9, Matthew 5:32",
What does the Bible say about predestination and election?,doctrinal,,"Romans 8:29-30, Ephesians 1:4-5, Ephesians 1:11, John 6:37, Romans 9:15-18",,"2 Peter 3:9, John 3:16, 1 Timothy 2:4, Revelation 22:17, Acts 17:30, Ezekiel 18:23",
who is Melchizedek?,factual,"Genesis 14:18, Psalms 110:4",,,,
What is the meaning of baptism?,doctrinal,,"Acts 2:38, Mat 3:15, Matthew 28:19, Mark 16:16",,"Romans 6:4, 1Pe 3:21",contested — mode vs meaning
What is faith?,doctrinal,Hebrews 11:1,"Hebrews 11:6, Romans 10:17",,,
What does the Bible teach about the resurrection of the dead?,doctrinal,,"1 Corinthians 15:20-22, 1 Corinthians 15:51-52, John 11:25, 1 Thessalonians 4:16-17",,,
What is grace?,doctrinal,,"Ephesians 2:8-9, Romans 3:24, Titus 2:11, 2 Corinthians 12:9",,,
Who is the Holy Spirit?,doctrinal,,"John 14:26, Acts 1:8, Romans 8:26, Galatians 5:22-23",,,
Is Jesus God?,doctrinal,,"John 1:1, John 1:14, Colossians 1:15-16, John 8:58",,,
What is the second coming of Christ?,doctrinal,,"Acts 1:11, 1 Thessalonians 4:16, Matthew 24:30, Revelation 1:7",,,
Does the Bible permit self-defense?,principle,,"Matthew 5:39, Luke 22:36, Romans 12:19",,,
Can a Christian get a tattoo?,principle,,"Leviticus 19:28, 1 Corinthians 6:19-20",,,
Must Christians keep the Sabbath?,principle,,"Exodus 20:8-10, Isaiah 58:13-14",,"Mark 2:27, Colossians 2:16, Romans 14:5",contested — both sides required
Can women teach or lead in the church?,principle,,"1 Timothy 2:12, 1 Corinthians 14:34",,"Acts 18:26, Galatians 3:28",contested — both sides required
Is it okay for Christians to drink alcohol?,principle,,"Ephesians 5:18, Proverbs 20:1, Proverbs 23:20-21",,"John 2:1-11, 1 Timothy 5:23",contested — both sides required
What does Proverbs say about pride?,thematic,,,"Proverbs 6:16-19, Proverbs 11:2, Proverbs 16:5, Proverbs 16:18, Proverbs 18:12",,any-two: needs 2 distinct
How should we deal with anxiety and worry?,thematic,,,"Philippians 4:6-7, Matthew 6:25-34, 1 Peter 5:7, Psalms 55:22",,any-two: needs 2 distinct
What does the Bible say about controlling the tongue?,thematic,,,"James 3:5-8, Proverbs 18:21, Proverbs 21:23, Ephesians 4:29",,any-two: needs 2 distinct
What does the Bible say about suffering and trials?,thematic,,,"Romans 5:3-4, James 1:2-4, 1 Peter 4:12-13, 2 Corinthians 4:17",,any-two: needs 2 distinct
What does the Bible say about loving your enemies?,thematic,,"Matthew 5:44, Luke 6:27-28, Romans 12:20, Proverbs 25:21",,,
What does the Bible say about the love of money?,thematic,,"1 Timothy 6:10, Matthew 6:24, Hebrews 13:5, Ecclesiastes 5:10",,,
What did Jesus teach about forgiveness?,thematic,,"Matthew 6:14-15, Matthew 18:21-22, Colossians 3:13, Luke 17:3-4",,,
What does the Bible say about marriage?,thematic,,"Genesis 2:24, Ephesians 5:25, Mark 10:9, Hebrews 13:4",,,
What does the Bible say about wisdom?,thematic,,"Proverbs 1:7, Proverbs 9:10, James 1:5",,,
What is the greatest commandment?,factual,Matthew 22:37-39,"Mark 12:30-31, Deuteronomy 6:5",,,
"In the Gospel of John, what does Jesus say about being the way, the truth, and the life?",scoped,John 14:6,,,,
"In the Psalms, how is the Lord described as a shepherd?",scoped,Psalms 23:1,Psalms 23:2-3,,,
Who is the current president of the United States?,refusal,,,,,
What is the chemical formula for water?,refusal,,,,,
What is the capital of Japan?,refusal,,,,,
